id;start_date;end_date;language
1;2023-03-07T18:42:46;2023-03-07T16:33:01;ENGLISH
2;2023-03-07T04:10:21;2023-03-07T13:35:50;FRENCH
3;2023-03-07T14:06:33;2023-03-07T02:11:41;SPANISH
4;2023-03-07T18:37:22;2023-03-07T00:03:41;FRENCH
5;2023-03-07T20:53:45;2023-03-07T05:12:43;ENGLISH
6;2023-03-07T06:24:28;2023-03-07T20:24:48;SPANISH
7;2023-03-07T14:28:16;2023-03-07T01:02:25;FRENCH
8;2023-03-07T04:54:09;2023-03-07T01:29:58;FRENCH
9;2023-03-07T05:45:47;2023-03-07T17:17:13;FRENCH
10;2023-03-07T01:42:45;2023-03-07T18:40:14;FRENCH
